ID,Tên xe,Dòng xe,Hãng,Xuất xứ,Số cửa,Số chỗ ngồi,Động cơ,Tình trạng,Năm sản xuất,Giá,Tỉnh
17042,Xe Suzuki Super Carry Truck 1.0 MT 2022,Truck,Suzuki,Lắp ráp trong nước,2,2,Xăng,Xe mới,2022,249000000,Hà Nội
53794,Xe Toyota Land Cruiser 3.5 V6 2022,SUV,Toyota,Nhập khẩu,5,7,Xăng,Xe mới,2022,4286000000,Hà Nội
73954,Xe Toyota Innova G 2.0 AT 2023,Crossover,Toyota,Lắp ráp trong nước,5,8,Xăng,Xe mới,2023,885000000,TP HCM
74150,Xe Toyota Corolla Cross 1.8G 2023,SUV,Toyota,Nhập khẩu,5,5,Xăng,Xe mới,2023,754000000,TP HCM
87573,Xe Toyota Innova G 2.0 AT 2022,Crossover,Toyota,Lắp ráp trong nước,5,8,Xăng,Xe mới,2022,850000000,Hà Nội
97011,Xe Suzuki Super Carry Van Blind Van 2023,Van/Minivan,Suzuki,Lắp ráp trong nước,5,2,Xăng,Xe mới,2023,299000000,TP HCM
101726,Xe Honda CRV L 2023,SUV,Honda,Lắp ráp trong nước,5,7,Xăng,Xe mới,2023,984000000,Hà Nội
135739,Xe Toyota Fortuner 2.7L 4x2 AT 2023,SUV,Toyota,Nhập khẩu,5,7,Xăng,Xe mới,2023,1229000000,TP HCM
142495,Xe Ford Ranger XLS 2.0L 4x2 AT 2023,Bán tải / Pickup,Ford,Lắp ráp trong nước,4,5,Dầu,Xe mới,2023,688000000,TP HCM
143308,Xe Ford Ranger XLT 2.0L 4x4 AT 2023,Bán tải / Pickup,Ford,Lắp ráp trong nước,4,5,Dầu,Xe mới,2023,830000000,TP HCM
174951,Xe Ford Transit Cứu thương 2023,Van/Minivan,Ford,Lắp ráp trong nước,4,7,Dầu,Xe mới,2023,940000000,TP HCM
182003,Xe Toyota Innova E 2.0 MT 2022,Crossover,Toyota,Lắp ráp trong nước,5,8,Xăng,Xe mới,2022,750000000,Hà Nội
182298,Xe Toyota Prado VX 2.7L 2022,SUV,Toyota,Nhập khẩu,5,5,Xăng,Xe mới,2022,2588000000,Hà Nội
183963,Xe Toyota Vios E CVT 2022,Sedan,Toyota,Lắp ráp trong nước,4,5,Xăng,Xe mới,2022,542000000,Hà Nội
203337,Xe Ford Everest Ambiente 2.0L 4x2 AT 2023,SUV,Ford,Nhập khẩu,5,7,Dầu,Xe mới,2023,1099000000,TP HCM
211394,Xe Toyota Yaris G 1.5 AT 2022,Hatchback,Toyota,Nhập khẩu,5,5,Xăng,Xe mới,2022,650000000,Hà Nội
304604,Xe Toyota Vios G 1.5 CVT 2022,Sedan,Toyota,Lắp ráp trong nước,4,5,Xăng,Xe mới,2022,592000000,Hà Nội
449343,Xe Mitsubishi Outlander 2.0 CVT 2022,SUV,Mitsubishi,Lắp ráp trong nước,5,7,Xăng,Xe mới,2022,825000000,Hà Nội
449349,Xe Mitsubishi Xpander 1.5 MT 2022,SUV,Mitsubishi,Lắp ráp trong nước,5,7,Xăng,Xe mới,2022,555000000,Hà Nội
485640,Xe Toyota Fortuner 2.4G 4x2 AT Legender 2022,SUV,Toyota,Lắp ráp trong nước,5,7,Dầu,Xe mới,2022,1259000000,TP HCM
485669,Xe Toyota Innova E 2.0 MT 2022,Crossover,Toyota,Lắp ráp trong nước,5,8,Xăng,Xe mới,2022,755000000,TP HCM
485675,Xe Toyota Innova E 2.0 MT 2022,Crossover,Toyota,Lắp ráp trong nước,5,8,Xăng,Xe mới,2022,755000000,TP HCM
485696,Xe Toyota Prado VX 2.7L 2022,SUV,Toyota,Nhập khẩu,5,7,Xăng,Xe mới,2022,2588000000,TP HCM
515018,Xe Hyundai HD 320 2017,Truck,Hyundai,Nhập khẩu,2,2,Dầu,Xe mới,2017,1750000000,TP HCM
531808,Xe Volvo XC90 Inscription B6 AWD 2023,SUV,Volvo,Nhập khẩu,5,7,Xăng,Xe mới,2023,4050000000,Hà Nội
560029,Xe Isuzu QKR IZ65 2t5-3t5 BẠT 2022,Truck,Isuzu,Nhập khẩu,2,3,Dầu,Xe mới,2022,435000000,TP HCM
587030,Xe Hyundai HD Ben 15 Tấn 2022,Truck,Hyundai,Nhập khẩu,2,3,Dầu,Xe mới,2022,1750000000,TP HCM
694755,Xe Honda City RS 1.5 AT 2023,Sedan,Honda,Lắp ráp trong nước,4,5,Xăng,Xe mới,2023,599000000,Hà Nội
698859,Xe Daewoo Novus BEN 15 Tấn 2022,Truck,Daewoo,Nhập khẩu,2,3,Dầu,Xe mới,2022,1690000000,TP HCM
747206,Xe Toyota Vios E 1.5 MT 2023,Sedan,Toyota,Lắp ráp trong nước,4,5,Xăng,Xe mới,2023,489000000,Cần Thơ
960975,Xe Volvo XC90 Inscription B6 AWD 2023,SUV,Volvo,Nhập khẩu,5,7,Xăng,Xe mới,2023,4050000000,Hà Nội
1116138,Xe Mercedes Benz Maybach GLS480 2022,SUV,Mercedes Benz,Nhập khẩu,5,4,Xăng,Xe mới,2022,8679000000,TP HCM
1126086,Xe Toyota Innova Venturer 2.0 AT 2022,Crossover,Toyota,Lắp ráp trong nước,5,8,Xăng,Xe mới,2022,885000000,TP HCM
